id;hs4_id;hs6;label;present;meta;updated_at
31;6;010639;- - Autres£- - - pigeons :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:02:17.614809"", ""parser_version"": ""v1.3""}";2026-01-20 15:02:52.030281
35;7;020110;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:05:32.355786"", ""parser_version"": ""v1.3""}";2026-01-20 15:06:05.397463
34;6;010690;- - - - Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:04:30.942562"", ""parser_version"": ""v1.3""}";2026-01-20 15:05:06.061810
36;7;020120;- Autres morceaux non désossés£- - - de l'espèce domestique :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:06:09.401101"", ""parser_version"": ""v1.3""}";2026-01-20 15:06:43.310296
37;7;020130;Désossées£- - - de l'espèce domestique :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:07:22.373838"", ""parser_version"": ""v1.3""}";2026-01-20 15:07:55.383633
38;8;020210;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:08:39.543282"", ""parser_version"": ""v1.3""}";2026-01-20 15:09:12.068458
39;8;020220;- Autres morceaux non désossés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:08:57.457383"", ""parser_version"": ""v1.3""}";2026-01-20 15:09:30.490602
2;1;010129;- - Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T13:54:03.174160"", ""parser_version"": ""v1.3""}";2026-01-20 12:54:42.233035
4;2;010221;;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T14:58:23.180307"", ""parser_version"": ""v1.3""}";2026-01-20 13:59:10.601514
5;1;010190;- - - - - Autres£- - - chevaux :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T14:58:42.177609"", ""parser_version"": ""v1.3""}";2026-01-20 13:59:17.816967
61;12;020630;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:24:13.846298"", ""parser_version"": ""v1.3""}";2026-01-20 15:24:56.937701
40;8;020230;- Désossées£- - - de l'espèce domestique :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:09:51.191724"", ""parser_version"": ""v1.3""}";2026-01-20 15:10:24.058752
41;9;020311;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:10:28.229819"", ""parser_version"": ""v1.3""}";2026-01-20 15:11:01.838177
42;9;020312;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:11:04.740023"", ""parser_version"": ""v1.3""}";2026-01-20 15:11:38.005637
51;10;020430;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:16:36.761406"", ""parser_version"": ""v1.3""}";2026-01-20 15:17:32.290576
43;9;020319;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:11:23.828403"", ""parser_version"": ""v1.3""}";2026-01-20 15:11:56.621265
44;9;020321;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:11:42.170890"", ""parser_version"": ""v1.3""}";2026-01-20 15:12:16.175092
52;10;020441;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:17:30.763254"", ""parser_version"": ""v1.3""}";2026-01-20 15:18:15.117739
45;9;020322;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:12:22.269195"", ""parser_version"": ""v1.3""}";2026-01-20 15:13:06.382991
71;13;020726;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:37:11.225870"", ""parser_version"": ""v1.3""}";2026-01-20 15:38:07.082140
53;10;020442;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:18:13.794893"", ""parser_version"": ""v1.3""}";2026-01-20 15:18:50.872069
46;9;020329;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:12:54.023891"", ""parser_version"": ""v1.3""}";2026-01-20 15:13:31.658635
58;12;020621;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:21:21.592451"", ""parser_version"": ""v1.3""}";2026-01-20 15:21:56.705086
47;10;020410;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:13:21.907279"", ""parser_version"": ""v1.3""}";2026-01-20 15:14:27.814701
48;10;020421;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:14:16.010411"", ""parser_version"": ""v1.3""}";2026-01-20 15:15:16.586888
55;10;020450;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:19:03.861069"", ""parser_version"": ""v1.3""}";2026-01-20 15:19:48.102893
54;10;020443;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:18:28.764000"", ""parser_version"": ""v1.3""}";2026-01-20 15:19:03.060994
49;10;020422;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:15:17.853053"", ""parser_version"": ""v1.3""}";2026-01-20 15:16:00.177838
50;10;020423;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:16:02.030900"", ""parser_version"": ""v1.3""}";2026-01-20 15:16:45.587336
56;11;020500;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:19:21.438475"", ""parser_version"": ""v1.3""}";2026-01-20 15:20:10.923096
67;13;020712;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:31:03.796921"", ""parser_version"": ""v1.3""}";2026-01-20 15:31:55.507109
